"","orig.ident","nCount_RNA","nFeature_RNA","Cell_ID","nCount_SCT","nFeature_SCT","SCT_snn_res.0.8","seurat_clusters"
"cell145","FISH",13,5,"Cell 145",23,7,"2","2"
"cell147","FISH",49,7,"Cell 147",26,6,"1","1"
"cell148","FISH",45,6,"Cell 148",25,6,"0","0"
"cell149","FISH",22,6,"Cell 149",22,6,"2","2"
"cell150","FISH",9,3,"Cell 150",22,6,"1","1"
"cell151","FISH",26,7,"Cell 151",25,7,"1","1"
"cell152","FISH",3,2,"Cell 152",22,9,"0","0"
"cell153","FISH",23,7,"Cell 153",23,7,"0","0"
"cell154","FISH",33,8,"Cell 154",24,8,"0","0"
"cell156","FISH",2,2,"Cell 156",24,9,"2","2"
"cell157","FISH",43,6,"Cell 157",24,6,"1","1"
"cell158","FISH",44,8,"Cell 158",25,5,"1","1"
"cell159","FISH",18,5,"Cell 159",23,5,"1","1"
"cell160","FISH",53,7,"Cell 160",27,5,"2","2"
"cell161","FISH",28,8,"Cell 161",25,8,"0","0"
"cell162","FISH",24,8,"Cell 162",24,8,"0","0"
"cell163","FISH",77,9,"Cell 163",24,7,"0","0"
"cell165","FISH",10,6,"Cell 165",22,7,"1","1"
"cell166","FISH",39,8,"Cell 166",24,7,"0","0"
"cell167","FISH",3,3,"Cell 167",23,9,"3","3"
"cell168","FISH",83,7,"Cell 168",26,7,"3","3"
"cell169","FISH",76,9,"Cell 169",25,8,"0","0"
"cell170","FISH",15,5,"Cell 170",22,5,"1","1"
"cell171","FISH",7,5,"Cell 171",22,8,"0","0"
"cell173","FISH",7,4,"Cell 173",22,7,"2","2"
"cell174","FISH",28,7,"Cell 174",24,7,"1","1"
"cell175","FISH",7,6,"Cell 175",23,8,"3","3"
"cell176","FISH",50,8,"Cell 176",25,8,"1","1"
"cell178","FISH",8,5,"Cell 178",24,8,"0","0"
"cell179","FISH",55,8,"Cell 179",25,8,"0","0"
"cell180","FISH",76,9,"Cell 180",24,8,"1","1"
"cell181","FISH",9,4,"Cell 181",22,7,"2","2"
"cell182","FISH",58,9,"Cell 182",22,8,"0","0"
"cell183","FISH",40,9,"Cell 183",24,8,"1","1"
"cell184","FISH",48,7,"Cell 184",26,7,"1","1"
"cell185","FISH",59,6,"Cell 185",28,5,"1","1"
"cell186","FISH",20,7,"Cell 186",24,7,"0","0"
"cell187","FISH",31,8,"Cell 187",24,8,"0","0"
"cell188","FISH",23,8,"Cell 188",23,8,"0","0"
"cell189","FISH",3,2,"Cell 189",21,9,"1","1"
"cell190","FISH",41,8,"Cell 190",24,6,"2","2"
"cell191","FISH",26,7,"Cell 191",26,7,"1","1"
"cell192","FISH",5,2,"Cell 192",21,8,"1","1"
"cell193","FISH",50,9,"Cell 193",22,8,"0","0"
"cell194","FISH",19,6,"Cell 194",23,6,"2","2"
"cell195","FISH",40,9,"Cell 195",24,7,"0","0"
"cell196","FISH",32,6,"Cell 196",25,6,"1","1"
"cell197","FISH",10,6,"Cell 197",22,7,"0","0"
"cell198","FISH",9,6,"Cell 198",23,9,"0","0"
"cell199","FISH",28,7,"Cell 199",26,7,"1","1"
"cell200","FISH",9,5,"Cell 200",23,7,"2","2"
"cell201","FISH",63,9,"Cell 201",24,8,"0","0"
"cell202","FISH",7,4,"Cell 202",21,7,"1","1"
"cell203","FISH",13,6,"Cell 203",24,7,"0","0"
"cell204","FISH",57,8,"Cell 204",25,6,"1","1"
"cell205","FISH",48,6,"Cell 205",27,5,"1","1"
"cell206","FISH",27,5,"Cell 206",25,5,"1","1"
"cell209","FISH",3,3,"Cell 209",22,9,"2","2"
"cell210","FISH",47,9,"Cell 210",24,8,"0","0"
"cell211","FISH",133,9,"Cell 211",23,8,"3","3"
"cell212","FISH",9,4,"Cell 212",22,6,"1","1"
"cell213","FISH",2,2,"Cell 213",25,9,"0","0"
"cell214","FISH",61,8,"Cell 214",24,7,"3","3"
"cell215","FISH",43,7,"Cell 215",24,6,"2","2"
"cell216","FISH",13,6,"Cell 216",23,7,"2","2"
"cell217","FISH",28,7,"Cell 217",25,7,"0","0"
"cell218","FISH",3,3,"Cell 218",23,9,"0","0"
"cell219","FISH",55,9,"Cell 219",25,8,"0","0"
"cell221","FISH",6,3,"Cell 221",24,9,"0","0"
"cell222","FISH",17,4,"Cell 222",24,4,"2","2"
"cell223","FISH",20,6,"Cell 223",24,6,"2","2"
"cell224","FISH",44,8,"Cell 224",24,7,"0","0"
"cell226","FISH",2,2,"Cell 226",24,9,"2","2"
"cell227","FISH",40,8,"Cell 227",24,7,"0","0"
"cell228","FISH",148,9,"Cell 228",23,8,"3","3"
"cell229","FISH",57,8,"Cell 229",25,8,"0","0"
"cell230","FISH",68,9,"Cell 230",25,7,"0","0"
"cell231","FISH",7,2,"Cell 231",21,7,"1","1"
"cell233","FISH",22,8,"Cell 233",22,8,"2","2"
"cell234","FISH",2,2,"Cell 234",23,9,"1","1"
"cell235","FISH",10,5,"Cell 235",24,7,"3","3"
"cell236","FISH",3,3,"Cell 236",21,9,"2","2"
"cell237","FISH",41,9,"Cell 237",25,9,"0","0"
"cell238","FISH",49,8,"Cell 238",23,7,"1","1"
"cell239","FISH",18,7,"Cell 239",23,7,"3","3"
"cell240","FISH",12,8,"Cell 240",23,8,"0","0"
"cell241","FISH",47,9,"Cell 241",24,8,"2","2"
"cell242","FISH",55,8,"Cell 242",25,8,"0","0"
"cell243","FISH",39,8,"Cell 243",25,8,"3","3"
"cell244","FISH",81,9,"Cell 244",24,8,"0","0"
"cell245","FISH",15,6,"Cell 245",23,6,"0","0"
"cell246","FISH",21,7,"Cell 246",23,7,"3","3"
"cell247","FISH",58,8,"Cell 247",24,7,"1","1"
"cell248","FISH",12,5,"Cell 248",23,7,"0","0"
"cell249","FISH",58,8,"Cell 249",25,7,"2","2"
"cell250","FISH",49,8,"Cell 250",24,7,"0","0"
"cell252","FISH",61,9,"Cell 252",23,8,"3","3"
"cell253","FISH",29,7,"Cell 253",23,7,"1","1"
"cell254","FISH",34,8,"Cell 254",23,8,"3","3"
"cell255","FISH",61,9,"Cell 255",25,9,"0","0"
"cell256","FISH",7,5,"Cell 256",21,7,"2","2"
"cell257","FISH",26,9,"Cell 257",25,9,"3","3"
"cell258","FISH",10,7,"Cell 258",22,7,"3","3"
"cell259","FISH",2,2,"Cell 259",23,9,"2","2"
"cell260","FISH",33,8,"Cell 260",25,8,"1","1"
"cell261","FISH",20,8,"Cell 261",23,8,"3","3"
"cell262","FISH",12,5,"Cell 262",24,7,"0","0"
"cell263","FISH",46,9,"Cell 263",24,8,"0","0"
